[  1   ,  4   , [0, 0, 0]  ,  0   ] 
[  1   ,  19  , [0, 0, 0]  ,  1   ] 
[  1   ,  20  , [0, 0, 0]  ,  1   ] 
[  2   ,  4   , [0, 0, 0]  ,  2   ] 
[  2   ,  5   , [0, 0, 0]  ,  3   ] 
[  3   ,  5   , [0, 0, 0]  ,  4   ] 
[  3   ,  6   , [0, 0, 0]  ,  5   ] 
[  3   ,  8   , [0, 0, 0]  ,  6   ] 
[  4   ,  1   , [0, 0, 0]  ,  0   ] 
[  4   ,  2   , [0, 0, 0]  ,  2   ] 
[  4   ,  7   , [0, 0, 0]  ,  7   ] 
[  5   ,  2   , [0, 0, 0]  ,  3   ] 
[  5   ,  3   , [0, 0, 0]  ,  4   ] 
[  5   ,  13  , [0, 0, 0]  ,  8   ] 
[  6   ,  3   , [0, 0, 0]  ,  5   ] 
[  6   ,  7   , [0, 0, 0]  ,  9   ] 
[  6   ,  21  , [0, 0, 0]  ,  10  ] 
[  7   ,  4   , [0, 0, 0]  ,  7   ] 
[  7   ,  6   , [0, 0, 0]  ,  9   ] 
[  7   ,  22  , [0, 0, 0]  ,  11  ] 
[  8   ,  3   , [0, 0, 0]  ,  6   ] 
[  8   ,  12  , [0, 0, 0]  ,  12  ] 
[  8   ,  14  , [0, 0, 0]  ,  13  ] 
[  8   ,  23  , [0, 0, 0]  ,  14  ] 
[  9   ,  10  , [0, 0, 0]  ,  15  ] 
[  9   ,  11  , [0, 0, 0]  ,  16  ] 
[  9   ,  14  , [0, 0, 0]  ,  17  ] 
[  9   ,  24  , [0, 0, 0]  ,  18  ] 
[  10  ,  9   , [0, 0, 0]  ,  15  ] 
[  10  ,  15  , [0, 0, 0]  ,  19  ] 
[  10  ,  25  , [0, 0, 0]  ,  20  ] 
[  10  ,  26  , [0, 0, 0]  ,  20  ] 
[  11  ,  9   , [0, 0, 0]  ,  16  ] 
[  11  ,  12  , [0, 0, 0]  ,  21  ] 
[  11  ,  16  , [0, 0, 0]  ,  22  ] 
[  11  ,  28  , [0, 0, 0]  ,  23  ] 
[  12  ,  8   , [0, 0, 0]  ,  12  ] 
[  12  ,  11  , [0, 0, 0]  ,  21  ] 
[  12  ,  17  , [0, 0, 0]  ,  24  ] 
[  12  ,  18  , [0, 0, 0]  ,  24  ] 
[  13  ,  5   , [0, 0, 0]  ,  8   ] 
[  14  ,  8   , [0, 0, 0]  ,  13  ] 
[  14  ,  9   , [0, 0, 0]  ,  17  ] 
[  15  ,  10  , [0, 0, 0]  ,  19  ] 
[  15  ,  27  , [0, 0, 0]  ,  25  ] 
[  16  ,  11  , [0, 0, 0]  ,  22  ] 
[  16  ,  29  , [0, 0, 0]  ,  26  ] 
[  17  ,  12  , [0, 0, 0]  ,  24  ] 
[  18  ,  12  , [0, 0, 0]  ,  24  ] 
[  19  ,  1   , [0, 0, 0]  ,  1   ] 
[  20  ,  1   , [0, 0, 0]  ,  1   ] 
[  21  ,  6   , [0, 0, 0]  ,  10  ] 
[  22  ,  7   , [0, 0, 0]  ,  11  ] 
[  23  ,  8   , [0, 0, 0]  ,  14  ] 
[  24  ,  9   , [0, 0, 0]  ,  18  ] 
[  25  ,  10  , [0, 0, 0]  ,  20  ] 
[  26  ,  10  , [0, 0, 0]  ,  20  ] 
[  27  ,  15  , [0, 0, 0]  ,  25  ] 
[  28  ,  11  , [0, 0, 0]  ,  23  ] 
[  29  ,  16  , [0, 0, 0]  ,  26  ] 
