[  1   ,  19  ,    [0, 0, 0]    ,  4   ,    [0, 0, 0]    ,  0   ] 
[  1   ,  20  ,    [0, 0, 0]    ,  4   ,    [0, 0, 0]    ,  0   ] 
[  1   ,  19  ,    [0, 0, 0]    ,  20  ,    [0, 0, 0]    ,  1   ] 
[  2   ,  4   ,    [0, 0, 0]    ,  5   ,    [0, 0, 0]    ,  2   ] 
[  3   ,  6   ,    [0, 0, 0]    ,  5   ,    [0, 0, 0]    ,  3   ] 
[  3   ,  8   ,    [0, 0, 0]    ,  5   ,    [0, 0, 0]    ,  4   ] 
[  3   ,  6   ,    [0, 0, 0]    ,  8   ,    [0, 0, 0]    ,  5   ] 
[  4   ,  1   ,    [0, 0, 0]    ,  2   ,    [0, 0, 0]    ,  6   ] 
[  4   ,  7   ,    [0, 0, 0]    ,  1   ,    [0, 0, 0]    ,  7   ] 
[  4   ,  7   ,    [0, 0, 0]    ,  2   ,    [0, 0, 0]    ,  8   ] 
[  5   ,  3   ,    [0, 0, 0]    ,  2   ,    [0, 0, 0]    ,  9   ] 
[  5   ,  2   ,    [0, 0, 0]    ,  13  ,    [0, 0, 0]    ,  10  ] 
[  5   ,  3   ,    [0, 0, 0]    ,  13  ,    [0, 0, 0]    ,  11  ] 
[  6   ,  7   ,    [0, 0, 0]    ,  3   ,    [0, 0, 0]    ,  12  ] 
[  6   ,  21  ,    [0, 0, 0]    ,  3   ,    [0, 0, 0]    ,  13  ] 
[  6   ,  21  ,    [0, 0, 0]    ,  7   ,    [0, 0, 0]    ,  14  ] 
[  7   ,  6   ,    [0, 0, 0]    ,  4   ,    [0, 0, 0]    ,  15  ] 
[  7   ,  22  ,    [0, 0, 0]    ,  4   ,    [0, 0, 0]    ,  16  ] 
[  7   ,  22  ,    [0, 0, 0]    ,  6   ,    [0, 0, 0]    ,  17  ] 
[  8   ,  12  ,    [0, 0, 0]    ,  3   ,    [0, 0, 0]    ,  18  ] 
[  8   ,  3   ,    [0, 0, 0]    ,  14  ,    [0, 0, 0]    ,  19  ] 
[  8   ,  23  ,    [0, 0, 0]    ,  3   ,    [0, 0, 0]    ,  20  ] 
[  8   ,  12  ,    [0, 0, 0]    ,  14  ,    [0, 0, 0]    ,  21  ] 
[  8   ,  23  ,    [0, 0, 0]    ,  12  ,    [0, 0, 0]    ,  22  ] 
[  8   ,  23  ,    [0, 0, 0]    ,  14  ,    [0, 0, 0]    ,  23  ] 
[  9   ,  10  ,    [0, 0, 0]    ,  11  ,    [0, 0, 0]    ,  24  ] 
[  9   ,  10  ,    [0, 0, 0]    ,  14  ,    [0, 0, 0]    ,  25  ] 
[  9   ,  24  ,    [0, 0, 0]    ,  10  ,    [0, 0, 0]    ,  26  ] 
[  9   ,  11  ,    [0, 0, 0]    ,  14  ,    [0, 0, 0]    ,  27  ] 
[  9   ,  24  ,    [0, 0, 0]    ,  11  ,    [0, 0, 0]    ,  28  ] 
[  9   ,  24  ,    [0, 0, 0]    ,  14  ,    [0, 0, 0]    ,  29  ] 
[  10  ,  9   ,    [0, 0, 0]    ,  15  ,    [0, 0, 0]    ,  30  ] 
[  10  ,  25  ,    [0, 0, 0]    ,  9   ,    [0, 0, 0]    ,  31  ] 
[  10  ,  26  ,    [0, 0, 0]    ,  9   ,    [0, 0, 0]    ,  31  ] 
[  10  ,  25  ,    [0, 0, 0]    ,  15  ,    [0, 0, 0]    ,  32  ] 
[  10  ,  26  ,    [0, 0, 0]    ,  15  ,    [0, 0, 0]    ,  32  ] 
[  10  ,  25  ,    [0, 0, 0]    ,  26  ,    [0, 0, 0]    ,  33  ] 
[  11  ,  9   ,    [0, 0, 0]    ,  12  ,    [0, 0, 0]    ,  34  ] 
[  11  ,  9   ,    [0, 0, 0]    ,  16  ,    [0, 0, 0]    ,  35  ] 
[  11  ,  28  ,    [0, 0, 0]    ,  9   ,    [0, 0, 0]    ,  36  ] 
[  11  ,  12  ,    [0, 0, 0]    ,  16  ,    [0, 0, 0]    ,  37  ] 
[  11  ,  28  ,    [0, 0, 0]    ,  12  ,    [0, 0, 0]    ,  38  ] 
[  11  ,  28  ,    [0, 0, 0]    ,  16  ,    [0, 0, 0]    ,  39  ] 
[  12  ,  11  ,    [0, 0, 0]    ,  8   ,    [0, 0, 0]    ,  40  ] 
[  12  ,  8   ,    [0, 0, 0]    ,  17  ,    [0, 0, 0]    ,  41  ] 
[  12  ,  8   ,    [0, 0, 0]    ,  18  ,    [0, 0, 0]    ,  41  ] 
[  12  ,  11  ,    [0, 0, 0]    ,  17  ,    [0, 0, 0]    ,  42  ] 
[  12  ,  11  ,    [0, 0, 0]    ,  18  ,    [0, 0, 0]    ,  42  ] 
[  12  ,  17  ,    [0, 0, 0]    ,  18  ,    [0, 0, 0]    ,  43  ] 
[  14  ,  9   ,    [0, 0, 0]    ,  8   ,    [0, 0, 0]    ,  44  ] 
[  15  ,  27  ,    [0, 0, 0]    ,  10  ,    [0, 0, 0]    ,  45  ] 
[  16  ,  29  ,    [0, 0, 0]    ,  11  ,    [0, 0, 0]    ,  46  ] 
